job_title,company_name,company_location,work_method,post_date,work_time
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Valencia, Valencian Community, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Alicante, Valencian Community, Spain",Remote,3 weeks ago,Full-time · Mid-Senior level
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Seville, Andalusia, Spain",Hybrid,2 weeks ago,Full-time · Associate
"Senior Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Oviedo, Principality of Asturias, Spain",Remote,4 hours ago,Full-time · Mid-Senior level
Big Data Developer (m/f/*),Ultra Tendency,Spain,Remote,3 weeks ago,Full-time · Mid-Senior level
Data Management Senior Analyst Alternatives,Santander,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Finnish Language Data Analyst,TELUS International AI Data Solutions,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time
"Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Zaragoza, Aragon, Spain",Remote,3 weeks ago,Full-time · Associate
"Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Zaragoza, Aragon, Spain",Hybrid,1 month ago,Full-time · Mid-Senior level
"Senior Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",Hybrid,1 day ago,Full-time · Mid-Senior level
"Senior Customer Insights Analyst (Bangkok Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",Hybrid,3 weeks ago,Full-time
Business Development Analyst,Hewlett Packard Enterprise,"Barcelona, Catalonia, Spain",Hybrid,19 hours ago,Full-time · Mid-Senior level
Global Business Development Analyst Trainee,Deoleo,"Rivas-Vaciamadrid, Community of Madrid, Spain",Hybrid,1 day ago,Full-time · Associate
"Senior Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Bilbao-Bilbo, Basque Country, Spain",Hybrid,2 months ago,Full-time
Manufacturing IT Engineer,AG SOLUTION GROUP,"Barcelona, Catalonia, Spain",Hybrid,22 hours ago,Full-time · Mid-Senior level
Automotive Quality Assurance Engineer,ITK Engineering,"Barcelona, Catalonia, Spain",Hybrid,10 hours ago,Full-time · Mid-Senior level
Data Developer,Tata Consultancy Services,"Madrid, Community of Madrid, Spain",Hybrid,2 months ago,Full-time · Entry level
BUSINESS AUTOMATION & DIGITALIZATION ANALYST,Exolum,"Madrid, Community of Madrid, Spain",Hybrid,5 days ago,Full-time · Mid-Senior level
"Senior Statistical Analyst (Bangkok Based, Relocation Provided)",Agoda,"Alicante, Valencian Community, Spain",Remote,2 weeks ago,Full-time · Mid-Senior level
"Senior Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Zaragoza, Aragon, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
"Senior Data Analyst (Bangkok Based, Relocation Provided)",Agoda,"Barcelona, Catalonia, Spain",On-site,2 weeks ago,Full-time · Entry level
EJECUTIVO COMERCIAL DE SEGUROS PARA EMPRESAS,SEGURVIVAL CORREDURIA DE SEGUROS,Greater Madrid Metropolitan Area,Hybrid,2 weeks ago,Full-time · Mid-Senior level
Senior DevOps Engineer (m/f/*),Ultra Tendency,Spain,Remote,1 week ago,Internship · Internship
Staff Digital Design,"Monolithic Power Systems, Inc.","Barcelona, Catalonia, Spain",Hybrid,3 weeks ago,Full-time · Associate
LLP - Business analyst,DHL Supply Chain,"Valencia, Valencian Community, Spain",Hybrid,1 week ago,Full-time · Associate
Digital Analyst,NTT DATA,"Castilla and Leon, Spain",Hybrid,2 weeks ago,Full-time · Associate
Investigador/a en Robótica,TECNALIA Research & Innovation,"San Sebastián, Basque Country, Spain",Hybrid,1 month ago,Full-time
Business Analyst IT - Operational Efficiency,Sofinco España,"Madrid, Community of Madrid, Spain",Remote,6 days ago,Full-time · Entry level
Associate Performance Analyst,Lightsource bp,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
TECNICO DE PREVENCION Y RIESGOS LABORALES,ASISYARD,Greater Ferrol Metropolitan Area,Hybrid,2 weeks ago,Full-time · Mid-Senior level
Junior Data Analyst - Prácticas,CBRE,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
IT Business Analyst,CEVA Logistics,"Pozuelo de Alarcón, Community of Madrid, Spain",Remote,1 week ago,Full-time · Associate
Data Scientist / Engineer,pickgeo.com - Location Intelligence,"Zaragoza, Aragon, Spain",Hybrid,2 weeks ago,Full-time
Data Engineer _ Analytics and Modeling analyst,Accenture España,"Madrid, Community of Madrid, Spain",Hybrid,1 month ago,Full-time · Entry level
Ad Operation and Data Analyst - Programmatic Advertising (TRAINEE / BECA),Antipodes,"Madrid, Community of Madrid, Spain",Remote,4 weeks ago,Full-time · Associate
Business Data Analyst FTL,XPO,"Valencia, Valencian Community, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Business Analyst /Proxy-Product Owner - Madrid,UST España & Latam,"Madrid, Community of Madrid, Spain",On-site,4 days ago,Full-time · Mid-Senior level
Corporate Data Analyst con GCP (100% remoto),atSistemas,Spain,On-site,2 weeks ago,Full-time · Associate
Senior Digital Analyst,NTT DATA Europe & Latam,"Madrid, Community of Madrid, Spain",On-site,1 day ago,Full-time · Associate
Data Engineer (SQL Server & Azure),UST España & Latam,Spain,Remote,2 weeks ago,Full-time · Associate
Senior Business Analyst - ADI Market Share,Nestlé,"Barcelona, Catalonia, Spain",Hybrid,23 hours ago,Full-time · Mid-Senior level
Business Analyst,Huxley,"Madrid, Community of Madrid, Spain",Hybrid,1 day ago,Full-time · Associate
