job_title,company_name,company_location,work_method,post_date,work_time
Business Intelligence Analyst,Further Group,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Associate
Senior Data Analyst,TravelPerk,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Associate
Analista de datos,Corporación Alimentaria Guissona S.A.,"Guissona, Catalonia, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Analista de Datos (Terrassa),Hays,Greater Barcelona Metropolitan Area,Hybrid,1 week ago,Full-time · Mid-Senior level
Data Analyst,Talent Search People,"Barcelona, Catalonia, Spain",On-site,1 week ago,Full-time · Associate
"Data Analyst, GeoAnalytics - BCG X",Boston Consulting Group (BCG),"Madrid, Community of Madrid, Spain",Remote,5 days ago,Full-time · Mid-Senior level
Data Analyst,Bunge,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Mid-Senior level
Data Analyst - Data Engineer (Tableau) - 100% remote,atSistemas,Spain,Hybrid,6 days ago,Full-time · Associate
Data Analyst - Operations,Wallbox Chargers,Greater Barcelona Metropolitan Area,Hybrid,1 month ago,Full-time · Entry level
Data Analyst,Grupo Caja de Ingenieros,Greater Barcelona Metropolitan Area,Hybrid,1 day ago,Full-time · Mid-Senior level
Data Specialist / Business Analyst - Spain 1,Mindray,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Entry level
Senior Data Analyst,Tinámica,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Data Analyst,YEGO,"Barcelona, Catalonia, Spain",Hybrid,5 days ago,Full-time · Entry level
Business Data Analyst,Treatwell,"Barcelona, Catalonia, Spain",On-site,4 days ago,Full-time · Mid-Senior level
Data Analyst,Octopus Energy,"Valencia, Valencian Community, Spain",Remote,2 months ago,Full-time · Mid-Senior level
Data Analyst,Siemens,"Tres Cantos, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Associate
Data Analyst Power BI (senior),atSistemas,Spain,On-site,1 week ago,Full-time · Entry level
Data Analyst,K-LAGAN,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Associate
Data Analyst,Scalefast,"Madrid, Community of Madrid, Spain",Hybrid,1 week ago,Full-time · Entry level
Executive Research & Insight Analyst,We Are Social,"Madrid, Community of Madrid, Spain",Hybrid,3 weeks ago,Full-time · Mid-Senior level
Data Analyst,SDG Group España,"Logroño, Autonomía de La Rioja, Spain",On-site,2 weeks ago,Full-time · Entry level
Visualization - BI Analyst,Bip Spain,"Madrid, Community of Madrid, Spain",Remote,2 months ago,Full-time · Associate
Local Data Analyst,Eli Lilly and Company,"Madrid, Community of Madrid, Spain",On-site,18 hours ago,Full-time · Entry level
Senior Data Analyst,Talarian,European Union,Hybrid,1 week ago,Full-time · Entry level
BI Analyst - Tableau or other BI Tools,TransPerfect,"Barcelona, Catalonia, Spain",Hybrid,2 weeks ago,Full-time · Associate
Business Intelligence Consultant,ÁlamoConsulting,"Madrid, Community of Madrid, Spain",Hybrid,6 days ago,Full-time · Associate
Data Analyst con Tableau,CGI,"Madrid, Community of Madrid, Spain",Remote,4 days ago,Full-time · Mid-Senior level
Business Analyst,agap2 Spain,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Associate
ANALISTA DE DATOS / CIENTÍFICO DE DATOS (PYTHON),Kimia Group,"Community of Madrid, Spain",Remote,3 weeks ago,Full-time · Mid-Senior level
Business Analyst (Remote - Barcelona),Tribe.xyz,Spain,Hybrid,2 weeks ago,Full-time · Associate
Consultor Power BI,LogiRAIL,"Madrid, Community of Madrid, Spain",On-site,1 week ago,Full-time · Mid-Senior level
Product Data Analyst,Capitole Consulting,Spain,Remote,1 week ago,Full-time · Associate
Web & Data Analyst,SIVASDESCALZO,"Barcelona, Catalonia, Spain",Hybrid,1 day ago,Full-time · Mid-Senior level
Healthcare Research & Data Analyst (Biosimilars),Clarivate,"Barcelona, Catalonia, Spain",Hybrid,6 days ago,Contract · Associate
Beca Analista De Datos / Data Scientist,Anticipa Real Estate,"Valencian Community, Spain",Remote,2 weeks ago,Full-time · Mid-Senior level
Data Annotator,Impress,Spain,Hybrid,1 week ago,Full-time · Entry level
Business Analyst (Temporal 6 meses),Randstad España,Greater Madrid Metropolitan Area,Remote,1 week ago,Full-time
Data Analyst (80% Teletrabajo),Oxigent Technologies,"Barcelona, Catalonia, Spain",Hybrid,1 week ago,Full-time · Mid-Senior level
Consultor Data Analytics,IN2 INGENIERIA DE LA INFORMACION,"Madrid, Community of Madrid, Spain",Remote,3 weeks ago,Full-time · Mid-Senior level
Data Analyst - Forensic,KPMG España,"Madrid, Community of Madrid, Spain",Hybrid,2 weeks ago,Full-time · Associate
Data Analyst (Engineer),Revolut,Spain,Hybrid,3 weeks ago,Full-time · Mid-Senior level
Digital Data Analyst - Martech,Alkemy enabling evolution,"Madrid, Community of Madrid, Spain",Hybrid,1 day ago,Full-time · Mid-Senior level
Insights Analyst,Ebiquity plc,Spain,Hybrid,4 weeks ago,Full-time · Associate
Data Analyst - Tableau / Power BI,UNIR - La Universidad en Internet,"Madrid, Community of Madrid, Spain",Hybrid,22 hours ago,Full-time
